StockName,precision_0,precision_1,precision_accuracy,precision_macro avg,precision_weighted avg,recall_0,recall_1,recall_accuracy,recall_macro avg,recall_weighted avg,f1-score_0,f1-score_1,f1-score_accuracy,f1-score_macro avg,f1-score_weighted avg,support_0,support_1,support_accuracy,support_macro avg,support_weighted avg,Matthew
1210,0.8181818181818182,0.881578947368421,0.8508474576271187,0.8498803827751196,0.8525667018084503,0.8666666666666667,0.8375,0.8508474576271187,0.8520833333333333,0.8508474576271187,0.8417266187050358,0.8589743589743589,0.8508474576271187,0.8503504888396973,0.8510813252917874,135.0,160.0,0.8508474576271187,295.0,295.0,0.7019602593748643
1231,0.6612903225806451,0.9005847953216374,0.8,0.7809375589511413,0.8202791926051688,0.8282828282828283,0.7857142857142857,0.8,0.8069985569985569,0.8,0.73542600896861,0.8392370572207084,0.8,0.7873315330946592,0.8043987732310212,99.0,196.0,0.8,295.0,295.0,0.5873582389128373
2344,0.7692307692307693,0.8820224719101124,0.8372881355932204,0.8256266205704408,0.8395822041222918,0.8108108108108109,0.8532608695652174,0.8372881355932204,0.8320358401880141,0.8372881355932204,0.7894736842105263,0.8674033149171272,0.8372881355932204,0.8284384995638268,0.8380806403122706,111.0,184.0,0.8372881355932204,295.0,295.0,0.6576312296376746
2449,0.7909090909090909,0.9297297297297298,0.8779661016949153,0.8603194103194103,0.8826718860617166,0.87,0.882051282051282,0.8779661016949153,0.8760256410256411,0.8779661016949153,0.8285714285714286,0.9052631578947369,0.8779661016949153,0.8669172932330828,0.8792659615139543,100.0,195.0,0.8779661016949153,295.0,295.0,0.7361775254361878
2603,0.7608695652173914,0.8768472906403941,0.8406779661016949,0.8188584279288927,0.8394985316058677,0.7368421052631579,0.89,0.8406779661016949,0.8134210526315789,0.8406779661016949,0.7486631016042781,0.8833746898263026,0.8406779661016949,0.8160188957152903,0.8399929919242948,95.0,200.0,0.8406779661016949,295.0,295.0,0.6322561003957937
2633,0.704225352112676,0.6964285714285714,0.7007874015748031,0.7003269617706237,0.7005418336792408,0.746268656716418,0.65,0.7007874015748031,0.698134328358209,0.7007874015748031,0.7246376811594204,0.6724137931034482,0.7007874015748031,0.6985257371314343,0.6999649781408508,67.0,60.0,0.7007874015748031,127.0,127.0,0.39845525732490034
3596,0.7777777777777778,0.84375,0.8135593220338984,0.8107638888888888,0.814677495291902,0.8076923076923077,0.8181818181818182,0.8135593220338984,0.8129370629370629,0.8135593220338984,0.7924528301886792,0.8307692307692308,0.8135593220338984,0.811611030478955,0.8138840372930556,130.0,165.0,0.8135593220338984,295.0,295.0,0.6236971657969552
1215,0.7518248175182481,0.9050632911392406,0.8338983050847457,0.8284440543287444,0.8437679016908436,0.8728813559322034,0.807909604519774,0.8338983050847457,0.8403954802259888,0.8338983050847457,0.807843137254902,0.853731343283582,0.8338983050847457,0.830787240269242,0.83537606087211,118.0,177.0,0.8338983050847457,295.0,295.0,0.668732746620363
1232,0.7077922077922078,0.8368794326241135,0.7694915254237288,0.7723358202081606,0.779118369309498,0.8257575757575758,0.7239263803680982,0.7694915254237288,0.7748419780628371,0.7694915254237288,0.7622377622377623,0.7763157894736842,0.7694915254237288,0.7692767758557233,0.770016468812187,132.0,163.0,0.7694915254237288,295.0,295.0,0.547172058948101
2345,0.845679012345679,0.8721804511278195,0.8576271186440678,0.8589297317367492,0.8583458017296851,0.8896103896103896,0.8226950354609929,0.8576271186440678,0.8561527125356913,0.8576271186440678,0.8670886075949367,0.8467153284671532,0.8576271186440678,0.856901968031045,0.8573508707914878,154.0,141.0,0.8576271186440678,295.0,295.0,0.7150770519818161
