date,real_close,predict_close,Prediction_Result
109/12/03,73.72999999999999,75.803154,1.0
109/12/04,75.61,77.21695,1.0
109/12/07,77.28,78.86976,1.0
109/12/08,78.97999999999999,80.60748,1.0
109/12/09,81.24000000000001,82.08932,1.0
109/12/10,83.0,83.72987,1.0
109/12/11,84.4,84.96325,1.0
109/12/14,85.69,85.838974,1.0
109/12/15,86.41,86.4776,1.0
109/12/16,86.84,86.88295,1.0
109/12/17,87.03,87.21745,1.0
109/12/18,86.75,87.512505,1.0
109/12/21,86.34,87.541504,0.0
109/12/22,85.66,87.432365,0.0
109/12/23,84.77000000000001,87.09344,0.0
109/12/24,84.47,86.72128,0.0
109/12/25,84.34,86.564064,0.0
109/12/28,84.72,86.33708,1.0
109/12/29,85.01,86.35305,1.0
109/12/30,85.16,86.47473,1.0
109/12/31,85.27000000000001,86.71733,1.0
110/01/04,85.85999999999999,86.99527,1.0
110/01/05,86.49000000000001,87.50634,1.0
110/01/06,87.52000000000001,88.05313,1.0
110/01/07,88.5,88.72734,1.0
110/01/08,89.64000000000001,89.46617,1.0
110/01/11,90.36,90.285355,1.0
110/01/12,90.22,90.657684,1.0
110/01/13,90.39,90.94389,1.0
110/01/14,90.64,91.01648,1.0
110/01/15,90.58,91.03394,0.0
110/01/18,90.10999999999999,90.819595,0.0
110/01/19,89.74,90.39454,0.0
110/01/20,89.02000000000001,89.97112,0.0
110/01/21,88.32000000000001,89.42884,0.0
110/01/22,87.19,88.993454,0.0
110/01/25,86.58,88.489075,0.0
110/01/26,86.10999999999999,87.97105,0.0
110/01/27,85.49000000000001,87.41792,0.0
110/01/28,84.45,86.854576,0.0
110/01/29,83.82000000000001,86.07182,0.0
110/02/01,83.85,85.35126,0.0
110/02/02,83.86,84.97831,0.0
110/02/03,84.06,84.96386,1.0
110/02/04,84.14,85.20868,1.0
110/02/05,84.27,85.509766,1.0
110/02/17,84.75,85.984024,1.0
110/02/18,85.44,86.80312,1.0
110/02/19,86.49000000000001,87.58449,1.0
110/02/22,88.26,88.43966,1.0
110/02/23,90.11,89.52138,1.0
110/02/24,91.14000000000001,90.58856,1.0
110/02/25,92.3,91.64296,1.0
110/02/26,93.32000000000001,92.761345,1.0
110/03/02,94.21000000000001,93.437256,1.0
110/03/03,94.74000000000001,94.157394,1.0
110/03/04,94.92999999999999,94.49401,1.0
